FILE_NAME=Trajectory_StowToL4.csv,T=0.28,dt=0.001,h0=0.0,hf=0.7,theta0_deg=-93.0,thetaf_deg=-235.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.2,penalty_strength=1000000.0
time,height,angle_deg,dh,dtheta_rad_s
4.599999999999999922e-02,1.559391547043584847e-01,-9.472521895405056114e+01,4.818703294913902369e+00,-2.945908864006656636e+00
4.700000000000000011e-02,1.607578579992723911e-01,-9.489400709878832174e+01,4.802532172939409705e+00,-3.145990564785138055e+00
4.800000000000000100e-02,1.655603901722117743e-01,-9.507425908053848218e+01,4.784321299487722001e+00,-3.348941792567632803e+00
4.900000000000000189e-02,1.703447114716994948e-01,-9.526613931108758493e+01,4.764456927121126562e+00,-3.553890048382346123e+00
5.000000000000000278e-02,1.751091683988206249e-01,-9.546976221171344434e+01,4.743313604135224182e+00,-3.759988636658786909e+00
5.100000000000000366e-02,1.798524820029558657e-01,-9.568519369161114696e+01,4.721243222909549786e+00,-3.966441672780389727e+00
5.200000000000000455e-02,1.845737252258654038e-01,-9.591245405914628464e+01,4.698562755278361536e+00,-4.172529731127241348e+00
5.299999999999999850e-02,1.892722879811437608e-01,-9.615152240263270755e+01,4.675540770484644781e+00,-4.377635701167545967e+00
5.399999999999999939e-02,1.939478287516284150e-01,-9.640234245255541623e+01,4.652382848820213468e+00,-4.581270461680288619e+00
5.500000000000000028e-02,1.986002116004486340e-01,-9.666482991481764486e+01,4.629216011175731005e+00,-4.783098044388143677e+00
5.600000000000000117e-02,2.032294276116243803e-01,-9.693888124575835263e+01,4.606072279631177047e+00,-4.982960035179061720e+00
5.700000000000000205e-02,2.078354998912555485e-01,-9.722438382525648137e+01,4.582951651872177123e+00,-5.180847082000758164e+00
5.800000000000000294e-02,2.124184515431277176e-01,-9.752122449735777820e+01,4.559854125586670470e+00,-5.376759204641937906e+00
5.900000000000000383e-02,2.169783056687143996e-01,-9.782929010724188856e+01,4.536779698464902033e+00,-5.570696422693812266e+00
5.999999999999999778e-02,2.215150853671792874e-01,-9.814846750121085961e+01,4.513728368199430463e+00,-5.762658755550103429e+00
6.099999999999999867e-02,2.260288137353786975e-01,-9.847864352667799892e+01,4.490700132485122786e+00,-5.952646222407046217e+00
6.199999999999999956e-02,2.305195138678638178e-01,-9.881970503215640633e+01,4.467694989019154406e+00,-6.140658842263384543e+00
