FILE_NAME=Trajectory_L4ToStow.csv,T=0.28,dt=0.001,h0=0.7,hf=0.0,theta0_deg=-235.0,thetaf_deg=-93.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.22,penalty_strength=10000000.0
time,height,angle_deg,dh,dtheta_rad_s
1.640000000000000069e-01,4.814370879735284103e-01,-1.261718635904636727e+02,-3.210831789324295915e+00,1.336559759577629514e+01
1.650000000000000078e-01,4.782262561842041126e-01,-1.254060712575554817e+02,-3.240093208630285826e+00,1.326527537910624055e+01
1.660000000000000087e-01,4.749861629755738335e-01,-1.246460269642538918e+02,-3.269472135211823893e+00,1.316274922832461058e+01
1.670000000000000095e-01,4.717166908403619963e-01,-1.238918569866818444e+02,-3.298968572006802713e+00,1.305801913317878871e+01
1.680000000000000104e-01,4.684177222683552078e-01,-1.231436876015496011e+02,-3.328582521964865482e+00,1.295108508319576757e+01
1.690000000000000113e-01,4.650891397463903232e-01,-1.224016450861676475e+02,-3.358313988047408216e+00,1.284194706768213834e+01
1.700000000000000122e-01,4.617308257583428999e-01,-1.216658557184590421e+02,-3.388162973227576646e+00,1.273060507572410138e+01
1.710000000000000131e-01,4.583426627851153179e-01,-1.209364457769722350e+02,-3.418129480490269767e+00,1.261705909618745913e+01
1.720000000000000140e-01,4.549245333046250117e-01,-1.202135415408935586e+02,-3.448213512832138505e+00,1.250130911771761077e+01
1.730000000000000149e-01,4.514763197917928683e-01,-1.194972692900599043e+02,-3.478415073261585722e+00,1.238335512873956112e+01
1.740000000000000158e-01,4.479979047185312924e-01,-1.187877553049714550e+02,-3.508734164798767097e+00,1.226319711745790819e+01
1.750000000000000167e-01,4.444891705537325488e-01,-1.180851258668041197e+02,-3.539170790475592021e+00,1.214083507185685384e+01
1.759999999999999898e-01,4.409499997632569390e-01,-1.173895072574222951e+02,-3.569724953335723594e+00,1.201626897970019314e+01
1.769999999999999907e-01,4.373802748099212545e-01,-1.167010257593915270e+02,-3.600396656434577736e+00,1.188949882853131435e+01
1.779999999999999916e-01,4.337798781534866754e-01,-1.160198076559909595e+02,-3.631185902839324520e+00,1.176052460567320423e+01
1.789999999999999925e-01,4.301486922506473909e-01,-1.153459792312261243e+02,-3.662092695628889061e+00,1.162934629822844101e+01
1.799999999999999933e-01,4.264865995550184974e-01,-1.146796667698415462e+02,-3.693117037893950183e+00,1.149596389307919253e+01
1.809999999999999942e-01,4.227934825171245081e-01,-1.140209965573333335e+02,-3.724258932736942640e+00,1.136037737688721982e+01
1.819999999999999951e-01,4.190692235843875846e-01,-1.133700948799617976e+02,-3.755518383272055782e+00,1.122258673609387181e+01
1.829999999999999960e-01,4.153137052011154906e-01,-1.127270880247641145e+02,-3.786895392625234003e+00,1.108259195692008170e+01
1.839999999999999969e-01,4.115268098084902681e-01,-1.120921022795669586e+02,-3.818389963934178954e+00,1.094039302536637237e+01
1.849999999999999978e-01,4.077084198445560803e-01,-1.114652639329991075e+02,-3.850002100348347334e+00,1.079598992721285100e+01
1.859999999999999987e-01,4.038584177442077205e-01,-1.108466992745040756e+02,-3.881731805028953097e+00,1.064938264801920909e+01
1.869999999999999996e-01,3.999766859391787888e-01,-1.102365345943527188e+02,-3.913579081148966576e+00,1.050057117312471711e+01
1.880000000000000004e-01,3.960631068580298120e-01,-1.096348961836559397e+02,-3.945543931893115808e+00,1.034955548764822986e+01
1.890000000000000013e-01,3.921175629261367535e-01,-1.090419103343772349e+02,-3.977626360457885202e+00,1.019633557648817401e+01
1.900000000000000022e-01,3.881399365656788558e-01,-1.084577033393453718e+02,-4.009826370051517763e+00,1.004091142432256234e+01
1.910000000000000031e-01,3.841301101956273167e-01,-1.078824014922670074e+02,-4.042143963894013758e+00,9.883283015608979483e+00
1.920000000000000040e-01,3.800879662317332985e-01,-1.073161310877392793e+02,-4.074579145217134268e+00,9.723450334584583743e+00
1.930000000000000049e-01,3.760133870865161598e-01,-1.067590184212625246e+02,-4.107131917264396748e+00,9.561413365266107078e+00
1.940000000000000058e-01,3.719062551692517427e-01,-1.062111897892527850e+02,-4.139802283291078133e+00,9.397172091449851550e+00
1.950000000000000067e-01,3.677664528859606596e-01,-1.056727714890545826e+02,-4.172590246564214844e+00,9.230726496711691098e+00
1.960000000000000075e-01,3.635938626393964701e-01,-1.051438898189534257e+02,-4.205495810362603670e+00,9.062076564407067991e+00
1.970000000000000084e-01,3.593883668290338562e-01,-1.046246710781884985e+02,-4.238518977976799995e+00,8.891222277670983942e+00
1.980000000000000093e-01,3.551498478510570767e-01,-1.041152415669652385e+02,-4.271659752709122237e+00,8.718163619418016097e+00
1.990000000000000102e-01,3.508781880983479762e-01,-1.036157275864680969e+02,-4.304918137873647410e+00,8.542900572342293941e+00
2.000000000000000111e-01,3.465732699604743283e-01,-1.031262554388730024e+02,-4.338294136796212896e+00,8.365433118917515287e+00
2.010000000000000120e-01,3.422349758236780670e-01,-1.026469514273600510e+02,-4.371787752814418226e+00,8.185761241396933841e+00
2.020000000000000129e-01,3.378631880708636293e-01,-1.021779418561262389e+02,-4.405398989277627742e+00,8.003884921813362752e+00
2.030000000000000138e-01,3.334577890815860202e-01,-1.017193530303979401e+02,-4.439127849546962601e+00,7.819804141979169287e+00
2.040000000000000147e-01,3.290186612320390447e-01,-1.012713112564436244e+02,-4.472974336995309663e+00,7.633518883486276607e+00
2.050000000000000155e-01,3.245456868950437057e-01,-1.008339428415864489e+02,-4.506938455007317934e+00,7.445029127706157546e+00
2.060000000000000164e-01,3.200387484400364357e-01,-1.004073740942169195e+02,-4.541020206979399454e+00,7.254334855789836389e+00
2.070000000000000173e-01,3.154977282330569954e-01,-9.999173132380552431e+01,-4.575219596319728410e+00,7.061436048667886212e+00
2.080000000000000182e-01,3.109225086367372604e-01,-9.958714084091531049e+01,-4.609536626448244689e+00,6.866332687050427097e+00
2.089999999999999913e-01,3.063129720102890641e-01,-9.919372895721460281e+01,-4.643971300796650326e+00,6.669024751427122588e+00
2.099999999999999922e-01,3.016690007094924297e-01,-9.881162198548955189e+01,-4.678523622808413052e+00,6.469512222067178797e+00
2.109999999999999931e-01,2.969904770866840238e-01,-9.844094623965679602e+01,-4.713193595938765412e+00,6.267795079019342630e+00
2.119999999999999940e-01,2.922772834907452766e-01,-9.808182803477612310e+01,-4.747981223654704763e+00,6.063873302111900010e+00
2.129999999999999949e-01,2.875293022670905585e-01,-9.773439368706306141e+01,-4.782886509434994160e+00,5.857746870952673213e+00
2.139999999999999958e-01,2.827464157576555226e-01,-9.739876951390151305e+01,-4.817909456770160581e+00,5.649415764929019979e+00
2.149999999999999967e-01,2.779285063008853918e-01,-9.707508183385640166e+01,-4.853050069162500257e+00,5.438879963207828183e+00
2.159999999999999976e-01,2.730754562317228573e-01,-9.676345696668633423e+01,-4.888308350126075119e+00,5.226139444735518502e+00
2.169999999999999984e-01,2.681871478815968102e-01,-9.646402123335613510e+01,-4.923684303186711020e+00,5.011194188238039082e+00
2.179999999999999993e-01,2.632634635784100730e-01,-9.617690095604962153e+01,-4.959177931882003953e+00,4.794044172220863764e+00
2.190000000000000002e-01,2.583042856465280757e-01,-9.590222245818208080e+01,-4.994789239761319166e+00,4.574689374968991196e+00
