time,height,angle_deg,dheight,dangle_deg
0.000000000000000000e+00,9.242279515797438560e-03,-1.112001635989867481e+02,1.200000010629582281e+00,-1.440000014321006745e+02
1.000000000000000021e-02,-1.576984238510696024e+00,3.437746804372937959e+01,-5.026548294638787162e+00,3.374146218733866220e+01
2.000000000000000042e-02,2.428039012121224847e-12,-1.440000014321053357e+02,3.588459262466051625e-01,-2.139163068399876124e+02
2.999999999999999889e-02,-2.428038722940947418e-12,7.217207179873870615e+00,-2.866633602659065971e+00,3.265859464178242888e+01
4.000000000000000083e-02,1.404840902796370902e-02,-1.130052261365964199e+02,1.170000010830752668e+00,-1.368000013607395999e+02
5.000000000000000278e-02,-1.583164792155543399e+00,3.609634144563249691e+01,-4.900884587739681386e+00,3.422666686816141635e+01
5.999999999999999778e-02,3.000000029842961324e-02,-1.512000015034272451e+02,3.730578956738592189e-01,-2.156430578404547589e+02
7.000000000000000666e-02,-1.256637073986584252e-01,7.706673855884185187e+00,-2.921977408469164317e+00,3.093972123980429600e+01
8.000000000000000167e-02,1.807242820230952132e-02,-1.148827705366623348e+02,1.140000010697737709e+00,-1.296000012893426856e+02
8.999999999999999667e-02,-1.590598716414940661e+00,3.781521484749260509e+01,-4.775220880506434007e+00,3.469261511340219073e+01
1.000000000000000056e-01,6.000000059418608700e-02,-1.584000015747061241e+02,3.869756884745383929e-01,-2.172982374619909649e+02
1.100000000000000006e-01,-2.513274147946436554e-01,8.214097937203677091e+00,-2.976055885657691746e+00,2.922084783779315842e+01
1.199999999999999956e-01,2.187908964313640958e-02,-1.168327386409320638e+02,1.110000010497848022e+00,-1.224000012179127310e+02
1.300000000000000044e-01,-1.599289479269224046e+00,3.953408824930520638e+01,-4.649557173206314786e+00,3.513940752141943591e+01
1.400000000000000133e-01,9.000000088969063727e-02,-1.656000016459375388e+02,4.006008927304455791e-01,-2.188819441652572948e+02
1.499999999999999944e-01,-3.769911221903770038e-01,8.739557072747450306e+00,-3.028869105257243621e+00,2.750197443575149947e+01
1.600000000000000033e-01,2.567943408651357853e-02,-1.188550693394291784e+02,1.080000010269269284e+00,-1.152000011464522657e+02
1.700000000000000122e-01,-1.609240005469292356e+00,4.125296165106494328e+01,-4.523893465877506515e+00,3.556741831551044442e+01
1.799999999999999933e-01,1.200000011849356174e-01,-1.728000017171160607e+02,4.139348339950297828e-01,-2.203942825078953547e+02
1.900000000000000022e-01,-5.026548295858507265e-01,9.283127104865243950e+00,-3.080417212826031204e+00,2.578310103368147921e+01
2.000000000000000111e-01,2.957844389356551959e-02,-1.209496992654627974e+02,1.050000010024729757e+00,-1.080000010749634356e+02
2.099999999999999922e-01,-1.620452746421260359e+00,4.297183505276544935e+01,-4.398229758532738565e+00,3.597711383025234966e+01
2.200000000000000011e-01,1.500000014799124648e-01,-1.800000017882353802e+02,4.269789333652816987e-01,-2.218353634085841009e+02
2.300000000000000100e-01,-6.283185369810564413e-01,9.844885609637250568e+00,-3.130700428599572316e+00,2.406422763158501255e+01
2.399999999999999911e-01,3.363701924345333105e-02,-1.231165633789209295e+02,1.020000009770014815e+00,-1.008000010034481733e+02
2.500000000000000000e-01,-1.632929734249753961e+00,4.469070845439899387e+01,-4.272566051177794755e+00,3.636894528704814178e+01
2.600000000000000089e-01,1.800000017746116454e-01,-1.872000018592877097e+02,4.397347661076738690e-01,-2.232053044361580874e+02
2.700000000000000178e-01,-7.539822443759843784e-01,1.042491629396223551e+01,-3.179719047699059775e+00,2.234535422946376571e+01
2.800000000000000266e-01,3.789407997993281263e-02,-1.253555956336584529e+02,9.900000095082399643e-01,-9.360000093190814141e+01
2.899999999999999800e-01,-1.646672632800732616e+00,4.640958185595613372e+01,-4.146902343815789926e+00,3.674331022338738251e+01
2.999999999999999889e-01,2.100000020690225289e-01,-1.944000019302636417e+02,4.522040596288400272e-01,-2.245042301237311051e+02
3.099999999999999978e-01,-8.796459517706239906e-01,1.102331489375364448e+01,-3.227473440319733822e+00,2.062648082731923083e+01
3.200000000000000067e-01,4.237621442558853202e-02,-1.276667296128219817e+02,9.600000092412738217e-01,-8.640000086034480375e+01
3.300000000000000155e-01,-1.661682776692428920e+00,4.812845525742518049e+01,-4.021238636448595472e+00,3.710055077470891405e+01
3.400000000000000244e-01,2.400000023631332358e-01,-2.016000020011514664e+02,4.643886887986016232e-01,-2.257322723185334610e+02
3.500000000000000333e-01,-1.005309659164963509e+00,1.164019769284067607e+01,-3.273964051927606533e+00,1.890760742515273662e+01
3.599999999999999867e-01,4.710249276750657493e-02,-1.300498992111582197e+02,9.300000089703258643e-01,-7.920000078875952454e+01
3.699999999999999956e-01,-1.677961206686469087e+00,4.984732865879134067e+01,-3.895574929077418425e+00,3.744096571293746933e+01
3.800000000000000044e-01,2.700000026569305822e-01,-2.088000020719364329e+02,4.762906755719764629e-01,-2.268895705644960401e+02
3.900000000000000133e-01,-1.130973366558989834e+00,1.227571476647930027e+01,-3.319191403676793328e+00,1.718873402296544839e+01
4.000000000000000222e-01,5.208710852121821444e-02,-1.325050393226565006e+02,9.000000086962233192e-01,-7.200000071715342642e+01
4.100000000000000311e-01,-1.695508698953625881e+00,5.156620206003562146e+01,-3.769911221703087012e+00,3.776482522406469400e+01
4.199999999999999845e-01,3.000000029503999133e-01,-2.160000021425995271e+02,4.879121846738635471e-01,-2.279762725305608058e+02
4.299999999999999933e-01,-1.256637073952687755e+00,1.293007224989225357e+01,-3.363156092555469989e+00,1.546986062075842483e+01
4.400000000000000022e-01,5.734093614774232045e-02,-1.350320864905295366e+02,8.700000084195568251e-01,-6.480000064552761785e+01
4.500000000000000111e-01,-1.714325792804205495e+00,5.328507546113300464e+01,-3.644247514326191872e+00,3.807238452433361431e+01
4.600000000000000200e-01,3.300000032435247421e-01,-2.232000022131156811e+02,4.992554994828805603e-01,-2.289925344825180957e+02
4.700000000000000289e-01,-1.382300781346041285e+00,1.360357336136345907e+01,-3.405858792087302689e+00,1.375098721853260564e+01
4.799999999999999822e-01,6.287250277346521921e-02,-1.376309796283352398e+02,8.400000081407631436e-01,-5.760000057388299410e+01
4.899999999999999911e-01,-1.734412813294611944e+00,5.500394886204963996e+01,-3.518583806947169546e+00,3.836389554035550731e+01
5.000000000000000000e-01,3.600000035362866946e-01,-2.304000022834511014e+02,5.103229522641936633e-01,-2.299385218382709866e+02
5.100000000000000089e-01,-1.507964488739031994e+00,1.429670333837273155e+01,-3.447300252994663694e+00,1.203211381628883281e+01
5.200000000000000178e-01,6.868862264330800882e-02,-1.403016606590132938e+02,8.100000078601740094e-01,-5.040000050222041494e+01
5.300000000000000266e-01,-1.755769891317407572e+00,5.672282226273812000e+01,-3.392920099566351322e+00,3.863961699828844587e+01
5.400000000000000355e-01,3.900000038286653425e-01,-2.376000023535584376e+02,5.211167655715364111e-01,-2.308144097813176074e+02
5.500000000000000444e-01,-1.633628196131639454e+00,1.501033695657656608e+01,-3.487481304202911137e+00,1.031324041402786129e+01
5.600000000000000533e-01,7.479482735926100412e-02,-1.430440752197718268e+02,7.800000075780471054e-01,-4.320000043054064776e+01
5.700000000000000622e-01,-1.778396981761757978e+00,5.844169566312916686e+01,-3.267256392183995661e+00,3.889982357360590726e+01
5.799999999999999600e-01,4.200000041206374823e-01,-2.448000024233682552e+02,5.316387337207345576e-01,-2.316203839681954548e+02
5.899999999999999689e-01,-1.759291903523840350e+00,1.574640099593833220e+01,-3.526402853884424982e+00,8.594367011750371432e+00
5.999999999999999778e-01,8.119566726089541553e-02,-1.458581732669073006e+02,7.500000072945867124e-01,-3.600000035884436045e+01
6.099999999999999867e-01,-1.802293880366567791e+00,6.016056906311568753e+01,-3.141592684800306845e+00,3.914481478351733301e+01
6.199999999999999956e-01,4.500000044121773013e-01,-2.520000024927735751e+02,5.418896377680101351e-01,-2.323566413584119061e+02
6.300000000000000044e-01,-1.884955610915609148e+00,1.651154020819299717e+01,-3.564065890995128605e+00,6.875493609456970745e+00
6.400000000000000133e-01,8.789492870943468872e-02,-1.487439096893263297e+02,7.200000070099579208e-01,-2.880000028713215698e+01
6.500000000000000222e-01,-1.827460238770945100e+00,6.187944246251918656e+01,-3.015928977415449186e+00,3.937492424877379449e+01
6.600000000000000311e-01,4.800000047032553785e-01,-2.592000025615959089e+02,5.518682729754000871e-01,-2.330233911852761821e+02
6.700000000000000400e-01,-2.010619318306915648e+00,1.732834573992715477e+01,-3.600471486745813632e+00,5.156620207148209012e+00
6.800000000000000488e-01,9.489579498030184523e-02,-1.517012449414785351e+02,6.900000067242950674e-01,-2.160000021540460224e+01
6.900000000000000577e-01,-1.853895577583897225e+00,6.359831586100818868e+01,-2.890265270029557687e+00,3.959052976233379439e+01
7.000000000000000666e-01,5.100000049938384628e-01,-2.664000026295036605e+02,5.615700722997001293e-01,-2.336208561042211329e+02
7.099999999999999645e-01,-2.136283025697728100e+00,1.811518354024103417e+01,-3.635620796571941593e+00,3.437746804824575175e+00
7.199999999999999734e-01,1.022009685573211368e-01,-1.547301455559735928e+02,6.600000064377098408e-01,-1.440000014366217052e+01
7.299999999999999822e-01,-1.881599299174515849e+00,6.531718925785337149e+01,-2.764601562642743371e+00,3.979206349520610786e+01
7.399999999999999911e-01,5.400000052838889175e-01,-2.736000026957676710e+02,5.709857308224572936e-01,-2.341492735609773774e+02
7.500000000000000000e-01,-2.261946733088007644e+00,1.891432381996024148e+01,-3.669515062449814291e+00,1.718873402486507107e+00
7.600000000000000089e-01,1.098127666664292651e-01,-1.578305846792148941e+02,6.300000061502951665e-01,-7.200000071905303223e+00
7.700000000000000178e-01,-1.910570700276968736e+00,6.703606265086666838e+01,-2.638937855255100384e+00,3.998001044569060980e+01
7.800000000000000266e-01,5.700000055733632776e-01,-2.808000027581999802e+02,5.801010506630037700e-01,-2.346088974307838839e+02
7.900000000000000355e-01,-2.387610440477710316e+00,1.972902105661977501e+01,-3.702155615348733608e+00,1.343955733077195820e-10
8.000000000000000444e-01,1.177331982223476237e-01,-1.610025425237106163e+02,6.000000058621299814e-01,-1.343955887252188488e-10
