time,height,angle,dheight,dangle
0.000000000000000000e+00,0.000000000000000000e+00,-1.113498522480152104e+02,1.281105049066582957e+00,-2.052427076676768820e+02
2.000000000000000042e-02,-9.000000000000000000e+01,9.908268646025781834e-01,-2.653717601637921462e+02,5.969317477682024586e-01
4.000000000000000083e-02,0.000000000000000000e+00,-2.052427076676769104e+02,3.628110504906657541e-01,-2.136501477519848322e+02
5.999999999999999778e-02,-1.827828188757150801e-29,1.228847895238490417e-01,-1.651537176016379362e+02,9.274200255582166763e-01
8.000000000000000167e-02,-4.814824860968089633e-35,-1.154547064013687532e+02,1.278296154945763652e+00,-1.921084338656305590e+02
1.000000000000000056e-01,-9.000000000000000000e+01,1.047454802667445062e+00,-2.647899178101938560e+02,6.154801482793668121e-01
1.199999999999999956e-01,1.394730645391465684e-01,-2.169727805525421900e+02,3.883769735895810093e-01,-2.174923164292974320e+02
1.400000000000000133e-01,-2.889084908310893240e+01,1.438338855771979508e-01,-1.704495159578418111e+02,8.569806581781831412e-01
1.600000000000000033e-01,2.789461290782931611e-03,-1.197941620124195907e+02,1.269858237006822321e+00,-1.775174220511950409e+02
1.799999999999999933e-01,-9.057781698166218121e+01,1.097530351505076718e+00,-2.630420633799845973e+02,6.326197614429304172e-01
2.000000000000000111e-01,2.687618128985447274e-01,-2.273455728117658907e+02,4.137741383297174336e-01,-2.210426648703213459e+02
2.200000000000000011e-01,-5.567208981469855900e+01,1.657844926072994662e-01,-1.757103572254415269e+02,7.792270049929573839e-01
2.399999999999999911e-01,8.164697548753827375e-03,-1.243410734686549119e+02,1.255757543578003510e+00,-1.614113081771125735e+02
2.600000000000000089e-01,-9.169125877795616475e+01,1.141253813310823872e+00,-2.601212054554435440e+02,6.482043015427895183e-01
2.800000000000000266e-01,3.883834000716321899e-01,-2.364025756143849151e+02,4.388892892012775659e-01,-2.242708910338635917e+02
2.999999999999999889e-01,-8.045084715769523598e+01,1.886095688735159592e-01,-1.809127813345504023e+02,6.938480513897984370e-01
3.200000000000000067e-01,1.593236555018646972e-02,-1.290691249809426324e+02,1.235937671885591671e+00,-1.437256677878867777e+02
3.400000000000000244e-01,-9.330027572111006862e+01,1.178800081931909327e+00,-2.560156606048725507e+02,6.620812625705855270e-01
3.599999999999999867e-01,4.988163124071011700e-01,-2.441800169716097457e+02,4.636080426389894149e-01,-2.271454043896213193e+02
3.800000000000000044e-01,-1.033262361414709574e+02,2.121855705121541702e-01,-1.860330945466478454e+02,6.005022815542937487e-01
4.000000000000000222e-01,2.590869179832849464e-02,-1.339527253203748103e+02,1.210319342442817359e+00,-1.243897583219608123e+02
4.199999999999999845e-01,-9.536680044393949629e+01,1.210319342442817359e+00,-2.507090066488692628e+02,6.740913082016714020e-01
4.400000000000000022e-01,6.005022815542936376e-01,-2.507090066488692628e+02,4.878144294878457576e-01,-2.296331995560605321e+02
4.600000000000000200e-01,-1.243897583219608265e+02,2.363919573610104852e-01,-1.910472746796252466e+02,4.988163124071012255e-01
4.799999999999999822e-01,3.791873742941437309e-02,-1.389669054533522115e+02,1.178800081931909105e+00,-1.033262361414709574e+02
5.000000000000000000e-01,-9.785459561037870913e+01,1.235937671885591671e+00,-2.441800169716097173e+02,6.840676344498134442e-01
5.200000000000000178e-01,6.938480513897983259e-01,-2.560156606048725507e+02,5.113904311264838576e-01,-2.316997242788899598e+02
5.400000000000000355e-01,-1.437256677878868061e+02,2.611107107987223341e-01,-1.959308750190574244e+02,3.883834000716322454e-01
5.600000000000000533e-01,5.179569845721033322e-02,-1.440872186654496545e+02,1.141253813310823872e+00,-8.045084715769523598e+01
5.799999999999999600e-01,-1.007291089661364509e+02,1.255757543578003510e+00,-2.364025756143848866e+02,6.918353024512461369e-01
5.999999999999999778e-01,7.792270049929572728e-01,-2.601212054554435440e+02,5.342155073927002951e-01,-2.333087412220438637e+02
6.199999999999999956e-01,-1.614113081771125735e+02,2.862258616702824110e-01,-2.006589265313451449e+02,2.687618128985447830e-01
6.400000000000000133e-01,6.738023855706948284e-02,-1.492896427745585299e+02,1.097530351505076718e+00,-5.567208981469855189e+01
6.600000000000000311e-01,-1.039573351296786967e+02,1.269858237006822321e+00,-2.273455728117658623e+02,6.972105387092170092e-01
6.800000000000000488e-01,8.569806581781830301e-01,-2.630420633799845973e+02,5.561661144228018383e-01,-2.344221830183378188e+02
7.000000000000000666e-01,-1.775174220511950693e+02,3.116230264104188352e-01,-2.052058379875804519e+02,1.394730645391465684e-01
7.199999999999999734e-01,8.451985172063314344e-02,-1.545504840421582173e+02,1.047454802667445062e+00,-2.889084908310892530e+01
7.399999999999999911e-01,-1.075076835707025964e+02,1.278296154945763652e+00,-2.169727805525421616e+02,6.999999999999999556e-01
7.600000000000000089e-01,9.274200255582166763e-01,-2.647899178101938560e+02,5.771152104761508861e-01,-2.350000000000000000e+02
7.800000000000000266e-01,-1.921084338656305874e+02,3.371889495093340905e-01,-2.095452935986312752e+02,0.000000000000000000e+00
8.000000000000000444e-01,1.030682522317974692e-01,-1.598462823983620922e+02,9.908268646025781834e-01,0.000000000000000000e+00
