time,height,angle,dheight,dangle
7.800000000000000266e-01,9.918560540323801966e-01,1.320000012973937986e+00,9.634883517769181616e-01,9.935272761189765101e-01
8.000000000000000444e-01,2.649038389059004683e-01,2.035297353094296380e+00,9.000000089193962438e-01,1.193695290777590401e+00
8.200000000000000622e-01,9.965453565069698483e-02,5.269757647682813406e-01,1.405981939863098829e+00,1.200000011990412507e-01
8.399999999999999689e-01,6.000000059636891869e-01,5.334959921103560321e-01,8.597048283074680830e-01,2.098428419455367899e-01
8.599999999999999867e-01,1.099655020170155151e+00,1.380000013524067537e+00,9.916079905741801426e-01,9.968839584140533061e-01
8.800000000000000044e-01,2.778749637661892535e-01,2.022037143019278727e+00,8.400000083302279208e-01,1.197892147616501202e+00
9.000000000000000222e-01,1.216476360541000890e-01,5.555259816434888753e-01,1.329608675996352574e+00,6.000000060134946800e-02
9.200000000000000400e-01,6.600000065566348217e-01,5.739367349707417132e-01,8.774535774414402578e-01,1.053926191749396946e-01
9.400000000000000577e-01,1.206723265167314763e+00,1.440000014040677900e+00,1.018200164094107185e+00,9.990415277806133920e-01
9.599999999999999645e-01,2.920435117712411599e-01,1.998847837805105998e+00,7.800000077399058540e-01,1.199999999999999956e+00
9.799999999999999822e-01,1.457821013574463753e-01,5.852755356239112139e-01,1.249958649930886789e+00,3.231760773149073113e-12
1.000000000000000000e+00,7.200000071488131814e-01,6.139136917268438465e-01,8.940027219286127425e-01,3.832070977701117906e-22
